method,metric,margin,bias,ci90_lo,ci90_hi,boot_lo,boot_hi,verdict,n_equiv,bt_n,bt_mae,bt_median_ae,bt_rmse,bt_loa_mean,bt_loa_lo,bt_loa_hi,bt_loa_lo_ci95_lo,bt_loa_lo_ci95_hi,bt_loa_hi_ci95_lo,bt_loa_hi_ci95_hi,bt_q25_diff,bt_q50_diff,bt_q75_diff,bt_q95_diff,bt_q05_diff
B4_3D_proposed,mean_glucose_mgdl,10.0,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,-4.489918846757859,0.33011682506680295,Robustly equivalent,1,719,8.278544280720133,6.7378758615510606,10.696853345260442,-2.0978621126237784,-22.67084967467588,18.47512544942832,-24.001972931319454,-21.339726418032303,17.144002192784743,19.806248706071894,-9.324096258070995,-2.2597511100457552,4.40448965119478,14.983348019693125,-16.987772429272393
B4_3D_proposed,cv_percent,5.0,1.0130315196484494,0.81107682462999,1.2149862146669088,0.4487279957323907,1.539116497622894,Robustly equivalent,1,719,2.679362372393898,2.251202996168594,3.438324088187369,1.0130315196484494,-5.431428112537767,7.457491151834666,-5.848400614320979,-5.014455610754555,7.040518650051454,7.874463653617878,-1.1702660875307558,0.953465037164289,3.16066398530765,5.907838412427014,-4.296776313028532
B4_3D_proposed,tir_percent,5.0,-1.5138980808392397,-1.728753443704247,-1.2990427179742323,-2.1940040512150096,-0.8808183362128036,Robustly equivalent,1,719,2.840884252943511,2.1614191888415064,3.809335258700458,-1.5138980808392397,-8.37002347379285,5.34222731211437,-8.813631770035595,-7.926415177550105,4.898619015871625,5.785835608357115,-3.607820727177778,-1.2156267964194782,0.69466475054071,3.4322603378454404,-7.01899594554014
B4_3D_proposed,gmi_percent,0.5,-0.05018086173396067,-0.0656023392583835,-0.03475938420953783,-0.10739885881444784,0.007896394455598265,Robustly equivalent,1,719,0.1980227791948256,0.16116999060830128,0.2558687320186299,-0.05018086173396067,-0.5422867242182471,0.4419250007503257,-0.5741271925171614,-0.5104462559193328,0.4100845324514114,0.47376546904924,-0.22303238249305846,-0.05405324655229471,0.10535539245657821,0.3584016846310605,-0.4063475165081945
B4_3D_proposed,tbr_percent,3.0,1.4219482122765,1.205869516680635,1.6380269078723648,0.602282847959021,2.1799407274505085,Robustly equivalent,1,719,2.765536274751484,2.0887759842689833,3.7921795985882674,1.4219482122765,-5.473214244905905,8.317110669458906,-5.919348335903024,-5.027080153908786,7.870976578461787,8.763244760456026,0.0,1.2395577178552248,3.311200734449991,6.839285706357549,-4.7482724305780595
B4_3D_proposed,tar_percent,5.0,0.09194986856274137,-0.13566760813576567,0.3195673452612484,-0.4818003447740425,0.8119092856238315,Robustly equivalent,1,719,2.7029153990878854,2.0849056603773555,3.704364355616943,0.09194986856274137,-7.171419968070853,7.355319705196336,-7.641377988605525,-6.701461947536181,6.885361684661664,7.8252777257310075,-2.1073410526227088,-0.1436922382044301,2.0331499274146125,5.660332491582497,-5.654585835835834
B4_3D_proposed,lbgi,1.0,0.2211923234481634,0.16751836557096153,0.2748662813253653,0.020111642887142293,0.40112534382640846,Robustly equivalent,1,719,0.6122920626836851,0.43801253768349235,0.9008268971268416,0.2211923234481634,-1.491566346547967,1.9339509934442938,-1.602386075173825,-1.3807466179221088,1.8231312648184357,2.044770722070152,-0.02477139190358013,0.2698668597737535,0.665530795149232,1.3097225153898984,-1.1273477121028375
B4_3D_proposed,hbgi,2.0,-0.22814174779206717,-0.3386896508911761,-0.11759384469295826,-0.6483473035386693,0.1793421036390292,Robustly equivalent,1,719,1.2492638765142028,0.8994880311342666,1.8129711292429083,-0.22814174779206717,-3.7557720357629547,3.29948854017882,-3.984018453693027,-3.5275256178328824,3.071242122248748,3.5277349581088924,-1.3016330459810437,-0.12365813735313791,0.6360253759673273,2.254481670055725,-2.8020358430194006
B5_adult_3D,mean_glucose_mgdl,10.0,16.564786466811075,15.0224267670542,18.10714616656795,5.039571662316962,35.68524616560277,Not equivalent,0,719,19.934078236624273,10.305034706201639,30.067791544654373,16.564786466811075,-32.65256310996159,65.78213604358373,-35.837047543950334,-29.468078675972848,62.59765160959499,68.96662047757248,0.1564880970059761,8.248927912813826,26.739797905553203,70.33079437117539,-10.980761857439594
B5_adult_3D,cv_percent,5.0,9.337806856506434,8.949054531642112,9.726559181370757,7.260728116602669,11.295869810446243,Not equivalent,0,719,9.424774718509532,8.699945039822474,11.27820096172253,9.337806856506434,-3.067444055227371,21.74305776824024,-3.870094518282464,-2.2647935921722784,20.940407305185147,22.545708231295336,4.532011588306604,8.699945039822474,13.33308739512669,20.503400840188856,0.5667155776449452
B5_adult_3D,tir_percent,5.0,-1.3002686830130412,-1.671147284041325,-0.9293900819847575,-2.9506510008233815,-0.2847218228988525,Robustly equivalent,1,719,4.718571817942303,3.830575256107167,6.172517877745524,-1.3002686830130412,-13.135161516527043,10.534624150500962,-13.90090839908645,-12.369414633967637,9.768877267941555,11.300371033060369,-4.994867255209481,-0.85894660894661,2.5529430443693855,7.671480210864158,-11.342510778295416
B5_adult_3D,gmi_percent,0.5,0.39622969228612104,0.3593364482679366,0.4331229363043055,0.12054655416262196,0.8535910882812185,Not robust,0,719,0.4768231514200527,0.24649643017234268,0.7192215737481327,0.39622969228612104,-0.7810493095902811,1.5735086941625231,-0.8572221772512918,-0.7048764419292703,1.4973358265015124,1.6496815618235339,0.003743195280383027,0.19731435567450717,0.6396159659008331,1.6823126013585163,-0.2626598236299548
B5_adult_3D,tbr_percent,3.0,-3.124653935768626,-3.7888841330418526,-2.4604237384953995,-11.860322057000182,2.001440761908567,Not equivalent,0,719,6.954726597671042,3.2507739938080498,11.24936035836069,-3.124653935768626,-24.320520129496533,18.071212257959278,-25.69194517654314,-22.949095082449926,16.69978721091267,19.442637305005885,-5.546216146943586,0.7064807810836554,3.1102912924076014,7.535991910217284,-26.963544653556728
B5_adult_3D,tar_percent,5.0,4.424922618781667,3.650698052536346,5.199147185026988,-1.4073953029041277,14.109377116158026,Not equivalent,0,719,9.373104663394399,6.012635351298143,13.350857903389604,4.424922618781667,-20.280910355088032,29.13075559265137,-21.879438947353865,-18.6823817628222,27.532227000385536,30.7292841849172,-4.513255853163555,0.10573476702509055,10.32321933040498,31.458023549617398,-9.978243036855398
B5_adult_3D,lbgi,1.0,-1.0253727512355564,-1.2101132604084108,-0.8406322420627019,-3.503490745544083,0.3940749470116518,Not equivalent,0,719,1.8106221388584336,0.6760961224346008,3.175726298842113,-1.0253727512355564,-6.920520441093259,4.869774938622146,-7.3019510995063674,-6.53908978268015,4.488344280209037,5.251205597035255,-1.222638564799954,0.16860114705967066,0.6487363458813156,1.4676534209695682,-7.762180384917037
B5_adult_3D,hbgi,2.0,2.8589284878860726,2.6653347252716553,3.05252225050049,1.708563662155463,4.680390200685166,Not equivalent,0,719,3.035436473427406,2.3350464692713837,4.25369475440865,2.8589284878860726,-3.318730259278073,9.036587235050218,-3.718440082907479,-2.9190204356486675,8.636877411420812,9.436297058679624,0.8107837543390732,2.3350006548893454,3.99603764432098,8.038720764370819,-0.6849355269204096
